2025-06-17 20:56:54,613 [     28]   INFO - #c.i.i.AppStarter - args: traverseUI /Users/mac26/workspace/java/easy-yapi/easy-yapi/idea-plugin/build/searchableOptions true
2025-06-17 20:56:54,614 [     29]   INFO - #c.i.i.AppStarter - library path: /Users/mac26/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.
2025-06-17 20:56:54,614 [     29]   INFO - #c.i.i.AppStarter - boot library path: /Users/mac26/.gradle/caches/modules-2/files-2.1/com.jetbrains/jbre/jbr_jcef-17.0.7-osx-x64-b829.16/extracted/jbr_jcef-17.0.7-osx-x64-b829.16/Contents/Home/lib
2025-06-17 20:56:54,621 [     36]   INFO - #c.i.i.p.PluginManager - Plugin PluginDescriptor(name=Kotlin, id=org.jetbrains.kotlin, descriptorPath=plugin.xml, path=~/.gradle/caches/modules-2/files-2.1/com.jetbrains.intellij.idea/ideaIC/2023.1.3/4e0a4eba55b0959c8406c9be8c38a4937fc99bd1/ideaIC-2023.1.3/plugins/Kotlin, version=231-1.8.21-IJ9161.38, package=org.jetbrains.kotlin, isBundled=true) misses optional descriptor performance-plugin.xml
2025-06-17 20:56:54,622 [     37]   INFO - #c.i.i.AppStarter - locale=zh_CN_#Hans JNU=UTF-8 file.encoding=UTF-8
    idea.config.path=/Users/mac26/workspace/java/easy-yapi/easy-yapi/idea-plugin/idea-sandbox/config
    idea.system.path=/Users/mac26/workspace/java/easy-yapi/easy-yapi/idea-plugin/idea-sandbox/system
    idea.plugins.path=/Users/mac26/workspace/java/easy-yapi/easy-yapi/idea-plugin/idea-sandbox/plugins
    idea.log.path=/Users/mac26/workspace/java/easy-yapi/easy-yapi/idea-plugin/idea-sandbox/system/log
2025-06-17 20:56:54,625 [     40]   INFO - #c.i.i.AppStarter - CPU cores: 24; ForkJoinPool.commonPool: java.util.concurrent.ForkJoinPool@1e0cfdb8[Running, parallelism = 24, size = 0, active = 0, running = 0, steals = 0, tasks = 0, submissions = 0]; factory: com.intellij.concurrency.IdeaForkJoinWorkerThreadFactory@29ce554e
2025-06-17 20:56:54,649 [     64]   INFO - #c.i.i.p.PluginManager - Module intellij.sh.python is not enabled because dependency com.intellij.modules.python is not available
Module intellij.space.gateway is not enabled because dependency com.jetbrains.gateway is not available
Module intellij.space.php is not enabled because dependency com.jetbrains.php is not available
Module intellij.space.index is not enabled because dependency intellij.indexing.shared is not available
2025-06-17 20:56:54,921 [    336]   INFO - #c.i.i.p.ExpiredPluginsState - Plugins to skip: []
2025-06-17 20:56:54,952 [    367]   INFO - #c.i.u.i.PageCacheUtils - File page caching params:
2025-06-17 20:56:54,953 [    368]   INFO - #c.i.u.i.PageCacheUtils - 	DEFAULT_PAGE_SIZE:10485760
2025-06-17 20:56:54,953 [    368]   INFO - #c.i.u.i.PageCacheUtils - 	FilePageCache: regular
2025-06-17 20:56:54,954 [    369]   INFO - #c.i.u.i.PageCacheUtils - 	DirectByteBuffers pool: 0 bytes
